TICKER,DATE,YEARREPORT,NPL (3-5),PPOP,NIM,Loan yield,COF from loan,Provision for credit losses
ABB,2018Q1,2018,,532.8,,,,-149.1
ABB,2018Q2,2018,,309.1,0.0265396315171214,,,-100.2
ABB,2018Q3,2018,,205.5,0.0250380682541558,,,-90.3
ABB,2018Q4,2018,,239.4,0.0226609080943888,,,3.5
ABB,2019Q1,2019,,323.4,0.0279480463200681,,,-219.2
ABB,2019Q2,2019,,518.0,0.0335143680043081,,,-71.2
ABB,2019Q3,2019,,481.3,0.0257732452056585,,,-143.2
ABB,2019Q4,2019,,474.0,0.0267272744343835,,,-89.2
ABB,2020Q1,2020,,473.6,0.0223829362564932,,,-92.9
ABB,2020Q2,2020,,389.0,0.0242654144694508,,,-174.9
ABB,2020Q3,2020,,485.7,0.0271503636084297,,,-135.0
ABB,2020Q4,2020,0.0209151539950981,567.7,0.027119066413227,0.0952644464706722,-0.0784060023686376,-110.1
ABB,2021Q1,2021,0.0204130417721744,599.1,0.0267528160264516,0.0837113711542586,0.0336108726908925,-121.1
ABB,2021Q2,2021,0.0232302087762861,922.2,0.029118182994225,0.0825555607298513,0.0346026904237377,-208.8
ABB,2021Q3,2021,0.0290894965441102,492.9,0.0280071800489042,0.0800885147269393,0.0292584302429968,-85.0
ABB,2021Q4,2021,0.02062082541779,640.4,0.0306099631658875,0.0803015966550313,0.0149080091746446,-280.9
ABB,2022Q1,2022,0.0231630277544141,619.8,0.0275175039076203,0.0772209640920986,0.0141998502229424,-44.2
ABB,2022Q2,2022,0.0230336602355882,"1,257.6",0.0313051796682031,0.0823808878277785,0.0295897693083908,-172.4
ABB,2022Q3,2022,0.0234554699519145,395.4,0.0310000075645305,0.0866938101910682,0.0388341324434566,-309.6
ABB,2022Q4,2022,0.0288451431894481,203.7,0.0303635383935958,0.0950528780724293,0.0620791611244681,-249.1
ABB,2023Q1,2023,0.0402514278013067,728.5,0.0250401928081001,0.1019586251988742,0.0731517595515015,-116.8
ABB,2023Q2,2023,0.0454678582340033,764.9,0.0223096358190149,0.1021314338215842,0.0418539365419296,-697.9
ABB,2023Q3,2023,0.0350618364085347,265.4,0.0180294160332696,0.1024292721269845,0.0637060452127391,-235.9
ABB,2023Q4,2023,0.0291228912898523,314.4,0.0178193794978715,0.0899526674085652,0.0717637758117492,-438.6
ABB,2024Q1,2024,0.0391951373381056,369.3,0.0176745528300087,0.0812921992941584,0.0435303630682232,-177.0
ABB,2024Q2,2024,0.0354536989231298,794.7,0.0221822479350818,0.0793346476606986,0.0566229953207012,-463.4
ABB,2024Q3,2024,0.0319747462207583,182.3,0.0191534203424735,0.0711050791936823,0.0367632447311219,-525.8
ABB,2024Q4,2024,0.0373838281152773,751.8,0.0202100152012544,0.0687486691959214,0.0314305980477361,-246.3
ABB,2025Q1,2025,0.0380366437593023,755.9,0.0187488062188568,0.0717893674572147,0.0363022905874034,-340.1
ACB,2017Q1,2017,0.0108477756247849,"1,202.1",,,,-607.3
ACB,2017Q2,2017,0.0110453848129813,"1,026.6",0.0324016541833308,0.0908841984656702,0.0769988678726901,-359.2
ACB,2017Q3,2017,0.0103754494461488,"1,266.7",0.033180226754319,0.0918281563580446,0.028967920905594,-524.8
ACB,2017Q4,2017,0.0070019475033946,"1,726.2",0.0358759718917082,0.0929106158034537,0.0238609376185625,"-1,074.0"
ACB,2018Q1,2018,0.006982051210411,"1,624.1",0.0340571106808516,0.0922761805846737,0.0486873999519317,-134.0
