TICKER,CUR_MKT_CAP,TRADE_DATE
HNA,5763.18915,2025-07-22
LCG,1988.83557,2025-07-22
VFS,2566.0776,2025-07-22
ANV,6350.19964,2025-07-22
BRC,178.19996,2025-07-22
CHP,5178.67155,2025-07-22
FUE,131.936,2025-07-22
HVH,624.0719399999999,2025-07-22
LGL,219.37765,2025-07-22
MHC,392.59007,2025-07-22
PEG,970.62213,2025-07-22
SVC,1365.7113100000001,2025-07-22
TIP,1267.65321,2025-07-22
TMP,4410.0,2025-07-22
AAM,74.72595,2025-07-22
APF,1530.20771,2025-07-22
BAB,11708.94297,2025-07-22
CAV,,2025-07-22
DVP,3084.0,2025-07-22
EVS,1170.08439,2025-07-22
HSL,230.24716,2025-07-22
HTM,2287.5694399999998,2025-07-22
ILB,1050.48603,2025-07-22
NHA,1112.7501399999999,2025-07-22
SMC,945.84786,2025-07-22
TAL,8950.095,2025-07-22
TBH,1219.8431799999998,2025-07-22
BMC,260.24523,2025-07-22
EVF,10115.52517,2025-07-22
HT1,5399.497240000001,2025-07-22
LM8,127.68608,2025-07-22
PHC,266.58694,2025-07-22
PVD,11395.54012,2025-07-22
SAB,61306.481380000005,2025-07-22
SSC,445.93197999999995,2025-07-22
TID,4700.0,2025-07-22
VGG,2094.75,2025-07-22
VSC,7262.785019999999,2025-07-22
YEG,2483.83635,2025-07-22
NAB,25306.40082,2025-07-22
NT2,5887.06479,2025-07-22
PJT,238.87474,2025-07-22
SGI,943.30875,2025-07-22
SQC,1824.083,2025-07-22
TN1,609.97017,2025-07-22
AAA,2935.86813,2025-07-22
AAT,240.07676,2025-07-22
DC4,1310.17843,2025-07-22
DTA,87.59019,2025-07-22
HUT,12545.14818,2025-07-22
KSB,2065.7088400000002,2025-07-22
MSR,23631.84153,2025-07-22
CRC,711.35921,2025-07-22
DTP,2713.4958199999996,2025-07-22
HAN,1452.7944,2025-07-22
ICT,431.279,2025-07-22
MIG,3625.80075,2025-07-22
MVC,1220.0,2025-07-22
NVB,17736.95454,2025-07-22
PRE,2088.0,2025-07-22
QNP,1289.0774099999999,2025-07-22
VNG,756.81201,2025-07-22
ADP,668.15565,2025-07-22
BVH,38971.94511,2025-07-22
DCF,1805.9534199999998,2025-07-22
FUE,53.922,2025-07-22
HAS,63.18,2025-07-22
LDG,1561.81284,2025-07-22
PET,2972.21135,2025-07-22
PLP,360.49921,2025-07-22
SHB,59352.661909999995,2025-07-22
VMD,264.02858000000003,2025-07-22
DHC,2917.05442,2025-07-22
FUE,453.18,2025-07-22
PVT,8458.76223,2025-07-22
SJF,134.64,2025-07-22
TDW,466.65,2025-07-22
TLG,4711.71984,2025-07-22
TMS,7112.12607,2025-07-22
VOS,2205.0,2025-07-22
AGG,2884.87344,2025-07-22
BCE,393.75,2025-07-22
CNT,660.34086,2025-07-22
DTK,8534.593439999999,2025-07-22
DVN,5498.4,2025-07-22
FCM,196.46316000000002,2025-07-22
FUC,,2025-07-22
FUC,,2025-07-22
KHP,760.747,2025-07-22
LDW,1702.08,2025-07-22
SRC,745.0824200000001,2025-07-22
TCT,216.7566,2025-07-22
GMA,1133.99994,2025-07-22
INN,1134.7777800000001,2025-07-22
MML,11121.977640000001,2025-07-22
NLG,15306.74333,2025-07-22
OPC,1505.19596,2025-07-22
SRF,306.78396000000004,2025-07-22
TLP,1656.0593000000001,2025-07-22
TNH,2421.43894,2025-07-22
VTB,109.12565,2025-07-22
MBB,165676.70271,2025-07-22
MVB,2037.0,2025-07-22
S4A,1557.18,2025-07-22
SBG,622.49954,2025-07-22
SJD,1048.77902,2025-07-22
VCR,9555.0,2025-07-22
VFM,,2025-07-22
CLL,1156.0,2025-07-22
PVC,949.9752199999999,2025-07-22
SFG,541.23986,2025-07-22
TNI,141.75,2025-07-22
VGV,1144.78234,2025-07-22
CIG,460.89072,2025-07-22
CMX,727.55879,2025-07-22
DSP,1447.9448,2025-07-22
FPT,190965.67268000002,2025-07-22
HAH,9469.30307,2025-07-22
HID,228.74299,2025-07-22
NAV,138.79964999999999,2025-07-22
PC1,8190.00457,2025-07-22
SFC,235.99149,2025-07-22
VGT,6200.0,2025-07-22
DRG,1371.04,2025-07-22
HAR,397.08896999999996,2025-07-22
MBS,17298.04479,2025-07-22
NNC,826.384,2025-07-22
SHA,134.12117,2025-07-22
SVI,736.58188,2025-07-22
SWC,2348.5,2025-07-22
TRC,2064.9625,2025-07-22
TV2,2559.24165,2025-07-22
C32,270.54260999999997,2025-07-22
TCH,16438.10974,2025-07-22
TTF,1212.08006,2025-07-22
VIC,449280.23342,2025-07-22
VND,29075.928239999997,2025-07-22
ACB,117629.43612,2025-07-22
BCM,70587.0,2025-07-22
HSG,11208.73068,2025-07-22
PHP,13503.448,2025-07-22
SBB,1417.89748,2025-07-22
BIC,4573.79891,2025-07-22
DBD,5154.81229,2025-07-22
DBT,262.79232,2025-07-22
FRT,25715.750920000002,2025-07-22
GMH,141.405,2025-07-22
HTL,339.6,2025-07-22
HVT,983.42765,2025-07-22
KDC,15794.444220000001,2025-07-22
PAP,6078.4,2025-07-22
SAV,437.3623,2025-07-22
TCL,1034.43435,2025-07-22
TIS,1011.93895,2025-07-22
TTD,1149.2928,2025-07-22
UIC,422.8772,2025-07-22
FUE,,2025-07-22
CCI,412.21596999999997,2025-07-22
